node1,node2
chili    chili      place,republican party
moveon,gil
moveon,congress
gil,congress
nrdc natural resources defense council,republican party
nrdc natural resources defense council,republican party
nrdc natural resources defense council,republican party
republican party,republican party
republican party,republican party
republican party,republican party
jack patrick lewis    ,host committee
jack patrick lewis    ,katherine clark
jack patrick lewis    ,karen
jack patrick lewis    ,yvonne
jack patrick lewis    ,carolyn dykema
jack patrick lewis    ,david linsky
jack patrick lewis    ,chris walsh
jack patrick lewis    ,fmr
jack patrick lewis    ,david magnani
jack patrick lewis    ,fmr
jack patrick lewis    ,john stefanini
jack patrick lewis    ,lori bornstein
jack patrick lewis    ,preston
jack patrick lewis    ,amp
jack patrick lewis    ,phil jack
jack patrick lewis    ,tricia kendall
jack patrick lewis    ,barbara leduc
jack patrick lewis    ,lynn amp chuck lidz
jack patrick lewis    ,jane
jack patrick lewis    ,diane brooks
jack patrick lewis    ,david
jack patrick lewis    ,mary anne sannicandro
jack patrick lewis    ,rob
jack patrick lewis    ,adam
jack patrick lewis    ,marc terry
jack patrick lewis    ,laurie tosti
jack patrick lewis    ,ed amp cheryl
jack patrick lewis    ,erin williams
host committee,katherine clark
host committee,karen
host committee,yvonne
host committee,carolyn dykema
host committee,david linsky
host committee,chris walsh
host committee,fmr
host committee,david magnani
host committee,fmr
host committee,john stefanini
host committee,lori bornstein
host committee,preston
host committee,amp
host committee,phil jack
host committee,tricia kendall
host committee,barbara leduc
host committee,lynn amp chuck lidz
host committee,jane
host committee,diane brooks
host committee,david
host committee,mary anne sannicandro
host committee,rob
host committee,adam
host committee,marc terry
host committee,laurie tosti
host committee,ed amp cheryl
host committee,erin williams
katherine clark,karen
katherine clark,yvonne
katherine clark,carolyn dykema
katherine clark,david linsky
katherine clark,chris walsh
katherine clark,fmr
katherine clark,david magnani
katherine clark,fmr
katherine clark,john stefanini
katherine clark,lori bornstein
katherine clark,preston
katherine clark,amp
katherine clark,phil jack
katherine clark,tricia kendall
katherine clark,barbara leduc
katherine clark,lynn amp chuck lidz
katherine clark,jane
katherine clark,diane brooks
katherine clark,david
katherine clark,mary anne sannicandro
katherine clark,rob
katherine clark,adam
katherine clark,marc terry
katherine clark,laurie tosti
katherine clark,ed amp cheryl
katherine clark,erin williams
karen,yvonne
karen,carolyn dykema
karen,david linsky
karen,chris walsh
karen,fmr
karen,david magnani
karen,fmr
karen,john stefanini
karen,lori bornstein
karen,preston
karen,amp
karen,phil jack
karen,tricia kendall
karen,barbara leduc
karen,lynn amp chuck lidz
karen,jane
karen,diane brooks
karen,david
karen,mary anne sannicandro
karen,rob
karen,adam
karen,marc terry
karen,laurie tosti
karen,ed amp cheryl
karen,erin williams
yvonne,carolyn dykema
yvonne,david linsky
yvonne,chris walsh
yvonne,fmr
yvonne,david magnani
yvonne,fmr
yvonne,john stefanini
yvonne,lori bornstein
yvonne,preston
yvonne,amp
yvonne,phil jack
yvonne,tricia kendall
yvonne,barbara leduc
yvonne,lynn amp chuck lidz
yvonne,jane
yvonne,diane brooks
yvonne,david
yvonne,mary anne sannicandro
yvonne,rob
yvonne,adam
yvonne,marc terry
yvonne,laurie tosti
yvonne,ed amp cheryl
yvonne,erin williams
carolyn dykema,david linsky
carolyn dykema,chris walsh
carolyn dykema,fmr
carolyn dykema,david magnani
carolyn dykema,fmr
carolyn dykema,john stefanini
carolyn dykema,lori bornstein
carolyn dykema,preston
carolyn dykema,amp
carolyn dykema,phil jack
carolyn dykema,tricia kendall
carolyn dykema,barbara leduc
carolyn dykema,lynn amp chuck lidz
carolyn dykema,jane
carolyn dykema,diane brooks
carolyn dykema,david
carolyn dykema,mary anne sannicandro
carolyn dykema,rob
carolyn dykema,adam
carolyn dykema,marc terry
carolyn dykema,laurie tosti
carolyn dykema,ed amp cheryl
carolyn dykema,erin williams
david linsky,chris walsh
david linsky,fmr
david linsky,david magnani
david linsky,fmr
david linsky,john stefanini
david linsky,lori bornstein
david linsky,preston
david linsky,amp
david linsky,phil jack
david linsky,tricia kendall
david linsky,barbara leduc
david linsky,lynn amp chuck lidz
david linsky,jane
david linsky,diane brooks
david linsky,david
david linsky,mary anne sannicandro
david linsky,rob
